0.4000000000000003 ps 
-513.673 -416.468 -597.008
-76.0114 -643.635 -1579.66
204.44 1009.21 410.096
-383.134 -169.459 1056.29
-1058.43 152.527 1277.21
491.884 -547.298 -761.072
670.469 378.743 -376.685
119.973 1014.43 -951.665
427.414 -442.088 742.672
-631.087 -523.187 -1.41616
-226.127 -929.229 -746.595
150.098 622.543 -130.646
-67.6966 456.19 835.538
-1292.43 1370.05 -414.222
519.274 -825.131 580.395
442.651 -347.77 -614.596
-957.66 -1622.66 -1602.83
-86.4095 584.756 1206.6
854.817 984.841 323.85
-1522.35 -141.759 -1103.56
770.264 558.391 836.306
973.841 -275.117 392.678
-1682.93 688.966 1130.19
809.694 -755.975 -655.518
1228.05 7.57609 -337.823
-1285.45 -609.476 411.634
750.366 489.98 117.842
943.259 93.7548 -699.475
-1004.46 -1147.6 -606.55
720.945 419.934 507.68
316.481 846.957 -48.0733
165.195 -1081.92 -1523.66
-443.055 986.368 603.908
513.99 194.077 730.31
-12.798 1771.9 -484.638
43.236 -905.74 121.197
59.7886 -664.052 569.574
-222.312 -1110.74 -752.909
151.78 269.262 825.526
118.793 845.25 35.1162
-958.392 -1080.12 799.971
468.175 684.048 -967.629
645.883 495.556 -37.345
-1946.76 -199.85 99.5026
1065.79 -295.429 -256.548
628.963 601.153 295.809
-673.925 -1294.22 -791.48
426.993 644.489 616.589
110.038 709.298 58.4224
-943.138 -797.969 1355
453.016 347.549 -972.325
360.044 316.555 -56.8745
-471.371 136.979 989.437
-56.0637 -222.605 -427.256
574.492 101.67 -604.187
-712.692 -1421.42 -288.939
-148.035 838.059 -200.124
815.793 833.044 564.849
168.907 -1213.49 360.585
335.241 677.818 -173.547
-380.227 482.871 -274.473
-706.153 1296.07 -311.233
413.822 -209.652 223.339
196.299 -1157.28 192.792
563.02 645.771 -1137.06
305.501 -633.97 354.526
-931.912 -84.9902 645.51
-1521.62 700.117 -1397.58
1163.09 -711.206 933.604
-91.6948 269.314 702.285
966.168 -11.7124 576.445
-709.371 -22.5262 -12.5875
-202.846 -76.2111 -727.16
-1029.63 1142.92 -604.79
867.864 -516.884 275.304
168.127 -783.988 373.714
